Direction	Time	 	Phone Send	 	Phone Receive	 	Time Send	Time Receive	 	Message	 	 
[A - B]	 	14:17:38	0907519801	 	0344621891	 	[Time] 2	14:17:42	 	Sang	 	
[A - C]	 	14:17:38	0907519802	 	0367519661	 	[Time] 4	14:17:46	 	Huynh	 	
[A - D]	 	14:17:38	0907519803	 	0121681791	 	[Time] 6	14:17:58	 	Khuong	 	
[B - A]	 	14:17:38	0344621891	 	0907519801	 	[Time] 2	14:17:41	 	Sang2	 	
[B - D]	 	14:17:38	0344621892	 	0121681792	 	[Time] 4	14:17:44	 	Huynh2	 	
[B - E]	 	14:17:38	0344621893	 	0275665211	 	[Time] 6	14:17:50	 	Khuong2	 	
[C - A]	 	14:17:38	0367519661	 	0907519802	 	[Time] 3	14:17:44	 	Sang3	 	
[C - B]	 	14:17:38	0367519662	 	0344621892	 	[Time] 6	14:17:47	 	Huynh3	 	
[C - E]	 	14:17:38	0367519663	 	0275665212	 	[Time] 9	14:17:50	 	Khuong3	 	
[D - C]	 	14:17:38	0121681791	 	0367519662	 	[Time] 3	14:17:40	 	Sang4	 	
[D - E]	 	14:17:38	0121681792	 	0275665213	 	[Time] 6	14:17:42	 	Huynh4	 	
[D - A]	 	14:17:38	0121681793	 	0907519803	 	[Time] 9	14:17:46	 	Khuong4	 	
[E - D]	 	14:17:38	0275665211	 	0121681793	 	[Time] 4	14:17:40	 	Sang5	 	
[E - C]	 	14:17:38	0275665212	 	0367519663	 	[Time] 8	14:17:44	 	Huynh5	 	
[E - A]	 	14:17:38	0275665213	 	0907519801	 	[Time] 12	14:17:48	 	Khuong5	 	
